Name,Price,Category,Sub category,Quantity,Shelflife,expiry date
Tender Coconut,75,Fruits & Vegetables,Fruits & Vegetables,1 pc,25,25-04-2023
Fresh Cucumber White (Safed Kakdi),40,Fruits & Vegetables,Fruits & Vegetables,500 gm,12,12-04-2023
Fresh Lady Finger (Bhendi),60,Fruits & Vegetables,Fruits & Vegetables,500 gm,7,07-04-2023
Cauliflower (Ful Gobi),70,Fruits & Vegetables,Fruits & Vegetables,500 gm,10,10-04-2023
Fresh Capsicum Green (Shimla Mirch),60,Fruits & Vegetables,Fruits & Vegetables,500 gm,4,04-04-2023
Fresh English Carrot (Gajar),60,Fruits & Vegetables,Fruits & Vegetables,500 gm,23,23-04-2023
Sweet Potato (Ratala),100,Fruits & Vegetables,Fruits & Vegetables,500 gm,42,12-05-2023
Fresh Groundnut (Mungfali),60,Fruits & Vegetables,Fruits & Vegetables,250 gm,47,17-05-2023
Malgudi Garlic Peeled,35,Fruits & Vegetables,Fruits & Vegetables,100 gm,45,15-05-2023
Sambhar Onion (Madras Onion),70,Fruits & Vegetables,Fruits & Vegetables,500 gm,38,08-05-2023
Fresh Avocado,175,Fruits & Vegetables,Fruits & Vegetables,1 pc,28,28-04-2023
Fresh Green Chilli (Mirchi),15,Fruits & Vegetables,Fruits & Vegetables,100 gm,50,20-05-2023
Bottle Gourd (Dudhi),50,Fruits & Vegetables,Fruits & Vegetables,500 gm,12,12-04-2023
Fresh Green Cucumber (Kakdi),40,Fruits & Vegetables,Fruits & Vegetables,500 gm,9,09-04-2023
Fresh Brinjal (Bharta Baingan),60,Fruits & Vegetables,Fruits & Vegetables,400 gm,15,15-04-2023
Fresh Beetroot (Chukandar),40,Fruits & Vegetables,Fruits & Vegetables,500 gm,17,17-04-2023
Cabbage (Patta Gobi),45,Fruits & Vegetables,Fruits & Vegetables,500 gm,11,11-04-2023
Fresh Sweet Corn,45,Fruits & Vegetables,Fruits & Vegetables,2 pcs,5,05-04-2023
Drumsticks (Shevgyacha Shenga),30,Fruits & Vegetables,Fruits & Vegetables,250 gm,4,04-04-2023
Fresh Capsicum Red & Yellow,150,Fruits & Vegetables,Fruits & Vegetables,2 U,15,15-04-2023
Fresh Baby Potato (Dum Aloo),30,Fruits & Vegetables,Fruits & Vegetables,500 gm,20,20-04-2023
Fresh Elephant Foot Yam (Suran),40,Fruits & Vegetables,Fruits & Vegetables,500 gm,30,30-04-2023
Fresh Baby Corn,35,Fruits & Vegetables,Fruits & Vegetables,100 gm,5,05-04-2023
Bitter Gourd (Karela),35,Fruits & Vegetables,Fruits & Vegetables,300 gm,7,07-04-2023
Fresh Colocasia (Arbi),45,Fruits & Vegetables,Fruits & Vegetables,500 gm,5,05-04-2023
French Beans (Faliya),50,Fruits & Vegetables,Fruits & Vegetables,250 gm,6,06-04-2023
Fresh Brinjal Round (Kateri Wangi),45,Fruits & Vegetables,Fruits & Vegetables,500 gm,10,10-04-2023
Fresh Sponge Gourd (Ghosale),55,Fruits & Vegetables,Fruits & Vegetables,400 gm,11,11-04-2023
Fresh Disco Pumpkin (Kaddu/Bhopla),40,Fruits & Vegetables,Fruits & Vegetables,1 pc,8,08-04-2023
Fresh Brinjal Small,50,Fruits & Vegetables,Fruits & Vegetables,500 gm,7,07-04-2023
Fresh Cluster Beans (Gavar),35,Fruits & Vegetables,Fruits & Vegetables,250 gm,7,07-04-2023
Fresh Sprouts Mixed Gram,40,Fruits & Vegetables,Fruits & Vegetables,200 gm,13,13-04-2023
Zucchini Green,75,Fruits & Vegetables,Fruits & Vegetables,250 gm,18,18-04-2023
Malgudi Fried Rice/Noodles Mix,65,Fruits & Vegetables,Fruits & Vegetables,250 gm,17,17-04-2023
Fresh Lemon Grass,30,Fruits & Vegetables,Fruits & Vegetables,150 gm,10,10-04-2023
Fresh Cabbage - Red,95,Fruits & Vegetables,Fruits & Vegetables,400 gm,6,06-04-2023
Broad Beans (Papadi),45,Fruits & Vegetables,Fruits & Vegetables,250 gm,6,06-04-2023
Zucchini Yellow,70,Fruits & Vegetables,Fruits & Vegetables,250 gm,6,06-04-2023
Malgudi Sambar Mix,65,Fruits & Vegetables,Fruits & Vegetables,250 gm,8,08-04-2023
Malgudi Coconut Chutney,75,Fruits & Vegetables,Fruits & Vegetables,200 gm,13,13-04-2023
Malgudi Sugarcane Cubes,55,Fruits & Vegetables,Fruits & Vegetables,200 gm,11,11-04-2023
Malgudi Thai Curry Mix Vegetables,135,Fruits & Vegetables,Fruits & Vegetables,250 gm,5,05-04-2023
Malgudi Biryani/Pulav Mix,100,Fruits & Vegetables,Fruits & Vegetables,250 gm,9,09-04-2023
Fresh Sprouts Moong Green,40,Fruits & Vegetables,Fruits & Vegetables,200 gm,7,07-04-2023
